Dicofre,services,lines
"110601",5.00027785495971,"Carris 203, CarrisMetropolitana 1741"
"110602",11.1932757215703,"Carris 201, Carris 203, CarrisMetropolitana 1741, CarrisMetropolitana 3706, CarrisMetropolitana 3708"
"110607",6.00111141983884,"Carris 203, Carris 208, Carris 210"
"110608",3.00083356487913,"Carris 202, CarrisMetropolitana 1740"
"110610",10.1446065076626,"Carris 202, Carris 203, CarrisMetropolitana 1740, CarrisMetropolitana 1741, CarrisMetropolitana 3706"
"110611",2.00055570991942,Carris 202
"110618",4.00111141983884,"Carris 206, Carris 207"
"110621",4.00111141983884,"Carris 208, Carris 210"
"110633",12.0022228396777,"Carris 208, Carris 210, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"110639",4.14405079774318,"Carris 202, CarrisMetropolitana 3706"
"110654",5.00138927479856,"Carris 206, Carris 207, Carris 208"
"110655",6.00111141983884,"Carris 206, Carris 203, Carris 208"
"110656",9.00138927479856,"Carris 206, Carris 203, Carris 207, Carris 208"
"110657",9.07285896375072,"Carris 203, Carris 207, CarrisMetropolitana 1740, CarrisMetropolitana 1741, CarrisMetropolitana 3706"
"110658",7.00083356487913,"Carris 201, Carris 203, CarrisMetropolitana 1741"
"110659",9.09705464322471,"Carris 202, Carris 203, CarrisMetropolitana 1741, CarrisMetropolitana 3706, CarrisMetropolitana 3708"
"110660",9.12125032269869,"Carris 201, Carris 203, CarrisMetropolitana 3706, CarrisMetropolitana 3708"
"110661",14.0522813283839,"Carris 206, Carris 201, Carris 202, Carris 207, Carris 208, Carris 210, CarrisMetropolitana 3708"
"110662",12.0022228396777,"Carris 208, Carris 210, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"110663",9.00138927479856,"Carris 206, Carris 203, Carris 208, Carris 210"
"110664",3.00083356487913,"Carris 206, Carris 207"
"110665",10.0027785495971,"Carris 206, Carris 202, Carris 207, Carris 208, Carris 210"
"110666",5.00138927479856,"Carris 202, Carris 207, CarrisMetropolitana 1741"
"110667",4.00111141983884,"Carris 206, Carris 210"
"110726",11.001944984718,"Carris 208, Carris 210, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"110727",10.0016671297583,"Carris 210, CarrisMetropolitana 2730, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"110728",4,CarrisMetropolitana 2730
"110731",2.00055570991942,Carris 207
"111002",1.00027785495971,CarrisMetropolitana 1741
"111012",3.00083356487913,"Carris 201, CarrisMetropolitana 1741"
"111013",2.00055570991942,"CarrisMetropolitana 1740, CarrisMetropolitana 1741"
"111108",1.00027785495971,CarrisMetropolitana 1740
"111122",1.00027785495971,CarrisMetropolitana 1740
"111124",1.00027785495971,CarrisMetropolitana 1740
"111125",1.00027785495971,CarrisMetropolitana 1740
"111126",1.00027785495971,CarrisMetropolitana 1740
"111512",1.00027785495971,CarrisMetropolitana 1740
"111513",1.00027785495971,CarrisMetropolitana 1740
"111514",2.00055570991942,Carris 202
"111515",2.00055570991942,Carris 202
"111517",1.00027785495971,CarrisMetropolitana 1740
"111603",2.00055570991942,Carris 206
"111608",2.00055570991942,Carris 202
"111609",2.00055570991942,Carris 206
"150201",5.00138927479856,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150202",5.00138927479856,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150203",5.00138927479856,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150303",2.04894706886739,CarrisMetropolitana 3708
"150312",5.19272001165086,"CarrisMetropolitana 3509, CarrisMetropolitana 3706, CarrisMetropolitana 3708"
"150313",2.04894706886739,CarrisMetropolitana 3708
"150314",2.14349508782376,CarrisMetropolitana 3706
"150315",4.16824647721716,"CarrisMetropolitana 3509, CarrisMetropolitana 3706, CarrisMetropolitana 3708"
"150407",1.00027785495971,TCB 37
"150409",2.00055570991942,"CarrisMetropolitana 4600, TCB 37"
"150410",2.00055570991942,"CarrisMetropolitana 4600, TCB 37"
"150601",2.00055570991942,"CarrisMetropolitana 4600, CarrisMetropolitana 4701"
"150603",2.00055570991942,"CarrisMetropolitana 4600, CarrisMetropolitana 4701"
"150607",3.00083356487913,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, TCB 37"
"150704",2.00055570991942,"CarrisMetropolitana 4600, CarrisMetropolitana 4701"
"150709",2.00055570991942,"CarrisMetropolitana 4600, CarrisMetropolitana 4701"
"150710",5.00138927479856,"CarrisMetropolitana 4600, CarrisMetropolitana 4701, CarrisMetropolitana 4708, CarrisMetropolitana 4715"
"150802",1.00027785495971,CarrisMetropolitana 4715
"150803",1.00027785495971,CarrisMetropolitana 4715
"151002",1.00027785495971,CarrisMetropolitana 3509
"151005",1.00027785495971,CarrisMetropolitana 3509
"151007",1.00027785495971,CarrisMetropolitana 3509
"151205",1.00027785495971,CarrisMetropolitana 4715
"151210",1.00027785495971,CarrisMetropolitana 4715
